ISO2,UNcode,ccTLD
AF,4,af
AX,248,ax
AL,8,al
DZ,12,dz
AS,16,as
AD,20,ad
AO,24,ao
AI,660,ai
AQ,10,aq
AG,28,ag
AR,32,ar
AM,51,am
AW,533,aw
AU,36,au
AT,40,at
AZ,31,az
BS,44,bs
BH,48,bh
BD,50,bd
BB,52,bb
BY,112,by
BE,56,be
BZ,84,bz
BJ,204,bj
BM,60,bm
BT,64,bt
BO,68,bo
BQ,535,bq
BA,70,ba
BW,72,bw
BR,76,br
IO,86,io
VG,92,vg
BN,96,bn
BG,100,bg
BF,854,bf
BI,108,bi
CV,132,cv
KH,116,kh
CM,120,cm
CA,124,ca
KY,136,ky
CF,140,cf
TD,148,td
CL,152,cl
CN,156,cn
CX,162,cx
CC,166,cc
CO,170,co
KM,174,km
CG,178,cg
CK,184,ck
CR,188,cr
CI,384,ci
HR,191,hr
CU,192,cu
CW,531,cw
CY,196,cy
CZ,203,cz
DK,208,dk
DJ,262,dj
DM,212,dm
DO,214,do
CD,180,cd
EC,218,ec
EG,818,eg
SV,222,sv
GQ,226,gq
ER,232,er
EE,233,ee
SZ,748,sz
ET,231,et
FO,234,fo
FK,238,fk
FJ,242,fj
FI,246,fi
FR,250,fr
GF,254,gf
PF,258,pf
TF,260,tf
GA,266,ga
GM,270,gm
GE,268,ge
DE,276,de
GH,288,gh
GI,292,gi
GR,300,gr
EL,300,gr
GL,304,gl
GD,308,gd
GP,312,gp
GU,316,gu
GT,320,gt
GG,831,gg
GN,324,gn
GW,624,gw
GY,328,gy
HT,332,ht
HM,334,hm
HN,340,hn
HK,344,hk
HU,348,hu
IS,352,is
IN,356,in
ID,360,id
IR,364,ir
IQ,368,iq
IE,372,ie
IM,833,im
IL,376,il
IT,380,it
JM,388,jm
JP,392,jp
JE,832,je
JO,400,jo
KZ,398,kz
KE,404,ke
KI,296,ki
KW,414,kw
KG,417,kg
LA,418,la
LV,428,lv
LB,422,lb
LS,426,ls
LR,430,lr
LY,434,ly
LI,438,li
LT,440,lt
LU,442,lu
MO,446,mo
MK,807,mk
MG,450,mg
MW,454,mw
MY,458,my
MV,462,mv
ML,466,ml
MT,470,mt
MH,584,mh
MQ,474,mq
MR,478,mr
MU,480,mu
YT,175,yt
MX,484,mx
FM,583,fm
MD,498,md
MC,492,mc
MN,496,mn
ME,499,me
MS,500,ms
MA,504,ma
MZ,508,mz
MM,104,mm
NA,516,na
NR,520,nr
NP,524,np
NL,528,nl
NC,540,nc
NZ,554,nz
NI,558,ni
NE,562,ne
NG,566,ng
NU,570,nu
NF,574,nf
KP,408,kp
MP,580,mp
NO,578,no
OM,512,om
PK,586,pk
PW,585,pw
PS,275,ps
PA,591,pa
PG,598,pg
PY,600,py
PE,604,pe
PH,608,ph
PN,612,pn
PL,616,pl
PT,620,pt
PR,630,pr
QA,634,qa
RE,638,re
RO,642,ro
RU,643,ru
RW,646,rw
WS,882,ws
SM,674,sm
ST,678,st
SA,682,sa
SN,686,sn
RS,688,rs
SC,690,sc
SL,694,sl
SG,702,sg
SX,534,sx
SK,703,sk
SI,705,si
SB,90,sb
SO,706,so
ZA,710,za
GS,239,gs
KR,410,kr
SS,728,ss
SU,810,su
ES,724,es
LK,144,lk
SH,654,sh
KN,659,kn
LC,662,lc
PM,666,pm
VC,670,vc
SD,729,sd
SR,740,sr
SE,752,se
CH,756,ch
SY,760,sy
TW,,tw
TJ,762,tj
TZ,834,tz
TH,764,th
TL,626,tl
TG,768,tg
TK,772,tk
TO,776,to
TT,780,tt
TN,788,tn
TR,792,tr
TM,795,tm
TC,796,tc
TV,798,tv
UG,800,ug
UA,804,ua
AE,784,ae
GB,826,uk
UK,826,uk
US,840,us
VI,850,vi
UY,858,uy
UZ,860,uz
VU,548,vu
VA,336,va
VE,862,ve
VN,704,vn
WF,876,wf
EH,732,eh
YE,887,ye
ZM,894,zm
ZW,716,zw
